run,source_filter,n_occurrences,n_trajectories,n_local_groups,mean_local_group_size,p50_local_group_size,p90_local_group_size,local_group_size_ge2_ratio,local_coverage,mean_abs_macro,mean_abs_local,median_abs_macro,median_abs_local,macro_abs_mass,local_abs_mass,local_magnitude_share,token_macro_abs_mass,token_local_abs_mass,token_local_magnitude_share,macro_local_sign_agreement,macro_local_sign_conflict,macro_local_pearson,macro_local_spearman,distinct_action_count_mean,distinct_action_singleton_group_ratio,distinct_action_ge3_group_ratio,source_occurrence_ratio,phase
bace,root,260865,5830,35004,7.452434007541995,2.0,14.0,0.6283281910638784,0.4117647058823529,0.3462348335221702,0.24693282400657807,0.07078943401575089,0.0,90320.54984676093,64416.13113447599,0.41629515849759613,8169082.110287458,5791846.977387131,0.4148611414766418,0.9602686279560045,0.03973137204399546,0.797151255342131,0.8673308550221369,3.7607701976916923,0.41546680379385215,0.39884013255627926,1.0,early
bace,branch_origin,575,570,539,1.0667903525046383,1.0,1.0,0.06493506493506493,0.6382608695652174,0.6729777708649636,0.5765041098986631,0.4297333061695099,0.42009487748146057,386.96221824735403,331.4898631917313,0.46139453382575596,36240.56215188652,29814.280245335773,0.4513564662836817,0.9020979020979021,0.0979020979020979,0.7017974058224986,0.7530756410602961,1.007421150278293,0.9925788497217068,0.0,1.0,early
bace,branch_suffix,11072,541,3028,3.656538969616909,2.0,8.0,0.5019815059445178,0.6141618497109826,0.5199953789985604,0.41736015208345495,0.38480421900749207,0.2565913498401642,5757.388836272061,4621.0116038680135,0.4452527757548777,514930.5110305697,413415.1292308777,0.44532457664631114,0.9658160808858931,0.034183919114106884,0.8310000456312695,0.8673103066266665,2.4603698811096435,0.5432628797886394,0.26254953764861294,1.0,early
bace,root,53365,3453,13880,3.8447406340057637,2.0,8.0,0.6684438040345821,0.7313969830413192,0.3325351875084449,0.5556688682284134,0.0,0.459835946559906,17745.740281388164,29653.269153009285,0.6256094696251165,1413556.2975079305,2305593.5722119105,0.6199248895515974,0.8781517211137908,0.12184827888620917,0.7441480351180843,0.7902092819570681,2.0256484149855907,0.5513688760806916,0.2234149855907781,1.0,late
bace,branch_origin,2992,2947,2539,1.1784166994879874,1.0,2.0,0.17369042930287515,0.8262032085561497,0.32929448282251506,0.6319536304516583,0.0,0.5451519191265106,985.249092604965,1890.8052623113617,0.6574302947644988,77686.63740242645,146055.63455137517,0.6527851589061042,0.8753993610223643,0.12460063897763578,0.7779577620068258,0.7896114373818536,1.023237495076802,0.9767625049231982,0.0,1.0,late
bace,branch_suffix,40411,2808,10471,3.8593257568522588,2.0,9.0,0.6051953013083755,0.6944148870357081,0.4431080375520224,0.5325861200826795,0.2556273639202118,0.4342316687107086,17906.438905514777,21522.337698661162,0.5458535504340682,1446045.9841532335,1701886.5120832892,0.5406362792461279,0.945519671847016,0.054480328152983995,0.8307439810781905,0.8767410092500351,2.1339891127876993,0.5703371215738707,0.2429567376563843,1.0,late
bace,root,130637,3986,23164,5.639656363322397,2.0,12.0,0.6246330512864791,0.629301040287208,0.5315424946187468,0.451395986042057,0.3877173066139221,0.298760324716568,69439.11686950922,58969.0174285762,0.4592311674873033,5431815.968840338,4584350.651271593,0.4576951268029487,0.9222111055527764,0.07778889444722362,0.7826693600463388,0.8333969003813366,2.974184078742877,0.46399585563805906,0.3473925056121568,1.0,middle
bace,branch_origin,2432,2414,2193,1.108983128134975,1.0,2.0,0.10761513907888737,0.790296052631579,0.5610308550944625,0.6489973842145972,0.41148407757282257,0.5589714348316193,1364.4270395897329,1578.3616384099005,0.5363489570996972,104144.57748680562,118312.2398771384,0.5318436237608178,0.8593220338983051,0.14067796610169492,0.7190162925488116,0.7406281421683193,1.0136798905608755,0.9863201094391245,0.0,1.0,middle
bace,branch_suffix,39027,2298,10697,3.648406095166869,2.0,8.0,0.5532392259512012,0.7211161503574448,0.6138422907183024,0.5577267513933565,0.5280722975730896,0.4423253834247589,23956.42307986319,21766.401926628525,0.47605111721636045,1855037.2794067673,1681747.5780648307,0.4755018034280689,0.9386242468900351,0.06137575310996489,0.817383410192866,0.8631320566236753,2.289053005515565,0.5552023931943536,0.26128821164812566,1.0,middle
