run,source_filter,n_occurrences,n_trajectories,n_local_groups,mean_local_group_size,p50_local_group_size,p90_local_group_size,local_group_size_ge2_ratio,local_coverage,mean_abs_macro,mean_abs_local,median_abs_macro,median_abs_local,macro_abs_mass,local_abs_mass,local_magnitude_share,token_macro_abs_mass,token_local_abs_mass,token_local_magnitude_share,macro_local_sign_agreement,macro_local_sign_conflict,macro_local_pearson,macro_local_spearman,distinct_action_count_mean,distinct_action_singleton_group_ratio,distinct_action_ge3_group_ratio,source_occurrence_ratio,phase
bace,all,272512,6400,35781,7.616109108185909,2.0,14.0,0.6321790894608871,0.42046588774072335,0.35398404804661937,0.2545525797085476,0.0863773301243782,0.0,96464.90090128034,69368.63260153573,0.41830280725675884,8720253.183469914,6235076.386863345,0.4169133389899882,0.9604296517162718,0.0395703482837282,0.7983421183433251,0.8683031246639087,3.8010676057125288,0.41250943238031357,0.4026718090606747,1.0,early
bace,all,96768,6400,16822,5.752467007490192,3.0,12.0,0.7203661871358935,0.718884341931217,0.3786109899916078,0.5483880220112207,0.0,0.44784122705459595,36637.428279507905,53066.41211398181,0.591573469777924,2937288.9190635905,4153535.718846575,0.5857620137212589,0.9100350761810808,0.08996492381891921,0.7861619902846158,0.8325931640066372,2.422779693258828,0.49274759243847344,0.2894423968612531,1.0,late
bace,all,172096,6400,25904,6.643607164916615,3.0,15.0,0.647467572575664,0.6523974990702863,0.5506227163267138,0.4783015351525581,0.4223712980747223,0.3333330750465393,94759.96698896214,82313.78099361464,0.4648559254628412,7390997.825733911,6384410.469213562,0.46346433677433924,0.9253754612066726,0.07462453879332745,0.7903584041855836,0.8408442309349873,3.186341877702285,0.44456454601605927,0.3671247683755405,1.0,middle
gigpo,all,282841,6400,36386,7.773346891661628,2.0,15.0,0.6389270598581872,0.395112448336698,0.3256357536511114,0.2355435801988446,0.0707894311932461,0.0,92103.142198434,66621.3817670214,0.41972960512088725,8588418.635134391,6144326.934530573,0.41705240245116787,0.9568943879969881,0.04310561200301191,0.7844802395834447,0.8631389191121142,3.751552795031056,0.402682350354532,0.4075743417798054,1.0,early
gigpo,all,115339,6400,19915,5.791564147627416,3.0,11.0,0.6592016068290234,0.7072976183251112,0.39484721456128874,0.533089922475047,0.04999000199960007,0.4082481234456743,45541.28288028448,61486.05856834945,0.5744892635482187,3438443.6949958443,4561304.765306048,0.5701810235585726,0.8999736830562743,0.1000263169437256,0.7722358885111429,0.821896702882009,2.3575696711021843,0.5153904092392669,0.28496108460959074,1.0,late
gigpo,all,205606,6400,32586,6.309642177622292,2.0,14.0,0.6084821702571657,0.6114704823789189,0.5332679805033302,0.4417827804367044,0.41574127989347326,0.2782486340251883,109643.09639936771,90833.19035446904,0.45308695519686276,9180815.928786127,7545909.989132153,0.45112893139766813,0.9202161329088958,0.07978386709110424,0.7805529035975646,0.8315096906606527,2.9531700730375006,0.4690050942122384,0.34744982507825445,1.0,middle
