run,phase,groups,action_1_ratio,action_2_ratio,action_ge3_ratio
bace,early,35781,0.41250943238031357,0.18481875855901175,0.4026718090606747
bace,late,16822,0.49274759243847344,0.21781001070027345,0.2894423968612531
bace,middle,25904,0.44456454601605927,0.18831068560840025,0.3671247683755405
gigpo,early,36386,0.402682350354532,0.18974330786566262,0.4075743417798054
gigpo,late,19915,0.5153904092392669,0.19964850615114235,0.28496108460959074
gigpo,middle,32586,0.4690050942122384,0.18354508070950715,0.34744982507825445
