run,step,source_filter,n_occurrences,n_trajectories,n_local_groups,mean_local_group_size,p50_local_group_size,p90_local_group_size,local_group_size_ge2_ratio,local_coverage,mean_abs_macro,mean_abs_local,median_abs_macro,median_abs_local,macro_abs_mass,local_abs_mass,local_magnitude_share,token_macro_abs_mass,token_local_abs_mass,token_local_magnitude_share,macro_local_sign_agreement,macro_local_sign_conflict,macro_local_pearson,macro_local_spearman,distinct_action_count_mean,distinct_action_singleton_group_ratio,distinct_action_ge3_group_ratio,source_occurrence_ratio
bace,1,all,6016,128.0,650.0,9.255384615384616,3.0,17.0,0.6707692307692308,0.8673537234042553,0.743297683087455,0.6230994376340645,0.46650591492652893,0.425846666097641,4471.678861454129,3748.566216806532,0.4560163573127552,409575.9771731645,345504.12712160475,0.45757281268097927,0.9591797623610578,0.040820237638942124,0.906789140233562,0.8765843906672489,4.3246153846153845,0.35384615384615387,0.46307692307692305,1.0
bace,1,root,6016,128.0,650.0,9.255384615384616,3.0,17.0,0.6707692307692308,0.8673537234042553,0.743297683087455,0.6230994376340645,0.46650591492652893,0.425846666097641,4471.678861454129,3748.566216806532,0.4560163573127552,409575.9771731645,345504.12712160475,0.45757281268097927,0.9591797623610578,0.040820237638942124,0.906789140233562,0.8765843906672489,4.3246153846153845,0.35384615384615387,0.46307692307692305,1.0
bace,1,branch_origin,0,,,,,,,,,,,,,,,,,,,,,,,,,
bace,1,branch_suffix,0,,,,,,,,,,,,,,,,,,,,,,,,,
bace,2,all,5824,128.0,715.0,8.145454545454545,3.0,14.0,0.6559440559440559,0.5885989010989011,0.4094971902323068,0.2763657014838153,0.15151655673980713,0.12598153948783875,2384.911635912955,1609.5538454417401,0.4029459893832581,242167.7784834355,160524.05589732737,0.3986275414403978,0.9795799299883314,0.020420070011668612,0.8474814817862357,0.8265784698361235,4.163636363636364,0.38181818181818183,0.4405594405594406,1.0
bace,2,root,5662,120.0,710.0,7.974647887323943,3.0,14.0,0.6535211267605634,0.5906040268456376,0.4068745745142645,0.2742308723336676,0.15151655673980713,0.12598153948783875,2303.7238408997655,1552.695199153226,0.40262616251679173,234160.55366535485,155226.20478908927,0.3986427412303744,0.979066985645933,0.020933014354066987,0.8460019850917493,0.8259754768849591,4.118309859154929,0.3845070422535211,0.43661971830985913,1.0
bace,2,branch_origin,8,8.0,8.0,1.0,1.0,1.0,0.0,0.375,0.9816683791577816,0.3936062902212143,0.16121040284633636,0.0,7.853347033262253,3.1488503217697144,0.28620194858886705,869.7792825102806,342.11154079437256,0.28229567731314525,1.0,0.0,0.7589921635790874,0.5,1.0,1.0,0.0,1.0
bace,2,branch_suffix,154,8.0,60.0,2.566666666666667,1.0,5.0,0.38333333333333336,0.525974025974026,0.47619771415537054,0.3487649088749638,0.1386679857969284,0.08005407452583313,73.33444797992706,53.70979596674442,0.42276449761304735,7137.445535570383,4955.739567443728,0.4097960566409057,1.0,0.0,0.8946163973164877,0.8584379003460906,2.066666666666667,0.6166666666666667,0.25,1.0
bace,3,all,6080,128.0,721.0,8.432732316227462,3.0,14.0,0.6588072122052705,0.4287828947368421,0.2768901594461089,0.1635391363126569,0.08849421888589859,0.0,1683.492169432342,994.3179487809539,0.3713175710324032,189064.4130980894,115986.7709392421,0.380220687571722,0.9873417721518988,0.012658227848101266,0.8222369262618276,0.5005036137024069,4.033287101248266,0.37586685159500693,0.4368932038834951,1.0
bace,3,root,5958,123.0,711.0,8.379746835443038,3.0,14.0,0.6582278481012658,0.43303121852970794,0.2791498417197938,0.16584730302129028,0.08849421888589859,0.0,1663.1747569665313,988.1182314008474,0.37269295990154355,186665.92356933653,115222.67111561075,0.38167281952422816,0.9872093023255814,0.012790697674418604,0.8220930670572882,0.505333898169862,4.032348804500703,0.37412095639943743,0.43319268635724334,1.0
