threshold,initial_pair_feasible,initial_full_feasible,eager_capacity_gap,eager_correction_rounds_lower_bound,pairwise_replan_changed_realized,post_pair_zero_capacity_probability,post_pair_shortfall_probability,expected_executed_branches,expected_unexecuted_branches,expected_fallback_roots,expected_pair_rounds,p2_expected_berv_value,retained_berv_value,weak_branch_ratio,weak_value_ratio
0.005,1.0,1.0,0.0,0.0,0.4557522123893805,0.00027352554317897505,0.010602289416963262,4.690716388920848,0.014593345592426777,0.014593345592420115,2.618917834946643,0.14471800102420201,1.0168548178410133,0.0,0.0
0.0075,0.9530973451327434,0.7946902654867256,0.4398230088495575,0.4398230088495575,0.4557522123893805,0.08569120681135464,0.19233180387403498,4.296910323130575,0.4083994113826998,0.4083994113826929,2.4193254344253625,0.14221657144357447,0.947561213762611,0.23052781847673348,0.14004345773178
0.01,0.9132743362831859,0.7070796460176991,0.7584070796460177,0.7584070796460177,0.4557522123893805,0.14119151764164803,0.28412227042645094,3.987307345349116,0.7180023891641583,0.7180023891641513,2.2650429768174605,0.13950194545441144,0.8953983497046808,0.3466032163028004,0.22055542015645663
0.015,0.7628318584070797,0.5141592920353982,1.6053097345132743,1.6053097345132743,0.4557522123893805,0.31331594237938876,0.45756471191395437,3.165316992485681,1.5399927420275932,1.5399927420275856,1.8216997292837804,0.129318161945162,0.742954026810675,0.6007717228433365,0.4303589903666778
