threshold,Q,initial_pair_feasible,initial_full_feasible,eager_capacity_gap,eager_correction_rounds_lower_bound,pairwise_replan_changed_realized,post_pair_zero_capacity_probability,post_pair_shortfall_probability,expected_executed_branches,expected_unexecuted_branches,expected_fallback_roots,expected_pair_rounds,p2_expected_berv_value,retained_berv_value,weak_branch_ratio,weak_value_ratio
0.005,3,1.0,1.0,0.0,0.0,0.3933333333333333,0.0019005584401548766,0.0019005584401548766,2.9980994415598414,0.0019005584401584692,0.0019005584401548766,1.9980994415598425,0.106341417491289,1.0103538526467093,0.0,0.0
0.005,4,1.0,1.0,0.0,0.0,0.4233576642335766,8.75915976971179e-05,0.004723878494506663,3.9952316356350206,0.00476836436497892,0.00476836436497247,1.9999644460359514,0.14055647270922528,1.018148582025895,0.0,0.0
0.005,5,1.0,1.0,0.0,0.0,0.4967741935483871,0.0,0.0073585867215831425,4.987922659181362,0.012077340818638005,0.0120773408186317,2.987937831874483,0.15315663577039582,1.0188766239799258,0.0,0.0
0.005,6,1.0,1.0,0.0,0.0,0.45228215767634855,0.0,0.028960239593835133,5.961481736776981,0.038518263223019045,0.038518263223009545,2.997016129544586,0.1570531924402204,1.0155291478737667,0.0,0.0
0.0075,3,0.8466666666666667,0.78,0.4533333333333333,0.4533333333333333,0.3933333333333333,0.21824354539968582,0.2192016462684349,2.548423121266977,0.4515768787330229,0.4515768787330192,1.7017564546003114,0.10357476606341169,0.8774233095219033,0.2652521262087941,0.18182263360036277
0.0075,4,0.9379562043795621,0.8394160583941606,0.35766423357664234,0.35766423357664234,0.4233576642335766,0.10225071907843701,0.14607116790488162,3.6646306390736725,0.3353693609263278,0.3353693609263216,1.8726045828163975,0.13850460502242906,0.949079285491167,0.20959065415990738,0.12360625698460508
0.0075,5,0.978494623655914,0.8193548387096774,0.37849462365591396,0.37849462365591396,0.4967741935483871,0.06293101063343598,0.16508576504422126,4.646082444013749,0.35391755598625124,0.3539175559862447,2.770762414827777,0.15090898876454809,0.967366218914557,0.22940347465355826,0.13134584550514652
0.0075,6,0.9875518672199171,0.7053941908713693,0.6431535269709544,0.6431535269709544,0.45228215767634855,0.02827765524829209,0.28077307338545165,5.430323922717524,0.569676077282476,0.5696760772824656,2.8094443739585224,0.1537160550625185,0.9512765937909388,0.23488863482850822,0.14950945901735302
0.01,3,0.7933333333333333,0.7333333333333333,0.6066666666666667,0.6066666666666667,0.3933333333333333,0.25535150660535216,0.26403522122735534,2.404648493394644,0.5953515066053559,0.5953515066053522,1.6113151600613118,0.10229058942461834,0.8280720784104603,0.3776203812760707,0.2580818017328856
0.01,4,0.8868613138686131,0.781021897810219,0.5583941605839416,0.5583941605839416,0.4233576642335766,0.1536662019186087,0.21286772622383351,3.459717985670581,0.540282014329419,0.540282014329413,1.7857243980258044,0.13662724855291877,0.9041450767055286,0.31825675894000577,0.19471107771514265
0.01,5,0.9591397849462365,0.7634408602150538,0.567741935483871,0.567741935483871,0.4967741935483871,0.10298026399678027,0.23380762429112462,4.451488761502441,0.5485112384975585,0.5485112384975517,2.6519415497604237,0.1492088337557381,0.9377252404041689,0.3196922153005592,0.19020790961388254
0.01,6,0.9294605809128631,0.4979253112033195,1.4481327800829875,1.4481327800829875,0.45228215767634855,0.1296818541911114,0.47471610007088355,4.676576863331659,1.3234231366683402,1.3234231366683291,2.4703733779952968,0.14720180975051544,0.8456901892094061,0.411449565005943,0.28513627075708997
0.015,3,0.74,0.6933333333333334,0.78,0.78,0.3933333333333333,0.28248881715264684,0.2917476396353479,2.244177849514016,0.7558221504859839,0.7558221504859801,1.5041778495140172,0.10046598557190584,0.7682915544277584,0.591424471577374,0.4118224385198014
0.015,4,0.8175182481751825,0.6240875912408759,0.9671532846715328,0.9671532846715328,0.4233576642335766,0.2507719884042965,0.3024065521056427,3.1394293695128526,0.8605706304871472,0.8605706304871408,1.6258826196490488,0.13257966159254078,0.8298553106015611,0.5606711642739055,0.37093916524162335
0.015,5,0.7827956989247312,0.4989247311827957,1.5634408602150538,1.5634408602150538,0.4967741935483871,0.29531978040747,0.475083184875346,3.513312645416509,1.4866873545834904,1.4866873545834822,2.1274127841720007,0.13745324088476413,0.7655835448567075,0.6049333177805909,0.4278262585685074
0.015,6,0.6763485477178424,0.3070539419087137,2.925311203319502,2.925311203319502,0.45228215767634855,0.43833389876996454,0.7033730384791876,3.0966286170809902,2.9033713829190098,2.903371382919,1.6520964076338156,0.1278715388982394,0.5847203886668146,0.6441513871258887,0.5143392191942529
