threshold,task_family,initial_pair_feasible,initial_full_feasible,eager_capacity_gap,eager_correction_rounds_lower_bound,pairwise_replan_changed_realized,post_pair_zero_capacity_probability,post_pair_shortfall_probability,expected_executed_branches,expected_unexecuted_branches,expected_fallback_roots,expected_pair_rounds,p2_expected_berv_value,retained_berv_value,weak_branch_ratio,weak_value_ratio
0.005,look_at_obj_in_light,1.0,1.0,0.0,0.0,0.46551724137931033,0.0005116863881211517,0.008587042225696102,4.695921222542444,0.010975329181694159,0.010975329181686705,2.6636002724689742,0.12652464425909765,1.0153228651018893,0.0,0.0
0.005,pick_and_place,1.0,1.0,0.0,0.0,0.4392156862745098,0.0005564056813321471,0.009990961378170057,4.6981757229073855,0.01162819866124198,0.011628198661235246,2.6039652397475943,0.14993487071929526,1.0221234309269076,0.0,0.0
0.005,pick_clean_then_place_in_recep,1.0,1.0,0.0,0.0,0.3891891891891892,5.8195288697256606e-05,0.020404848086044047,4.9252244331636135,0.026126918187738036,0.02612691818773139,2.681180837238488,0.13817243026885154,1.0164947868316927,0.0,0.0
0.005,pick_cool_then_place_in_recep,1.0,1.0,0.0,0.0,0.4382716049382716,0.0005505393163781563,0.01253608178063951,4.482604688394031,0.01739531160596898,0.017395311605962333,2.4585760211753747,0.13914130770951816,1.0148831638898461,0.0,0.0
0.005,pick_heat_then_place_in_recep,1.0,1.0,0.0,0.0,0.42168674698795183,4.7537929929137765e-05,0.006772505999218173,4.702821761132888,0.014045708746629732,0.014045708746624561,2.6385799713576024,0.12673742823251724,1.0135083793319666,0.0,0.0
0.005,pick_two_obj_and_place,1.0,1.0,0.0,0.0,0.5528455284552846,0.0,0.006125271753261819,4.63305266797191,0.009223754792317,0.009223754792309764,2.6588469113120996,0.16861742217315157,1.0159431619473158,0.0,0.0
0.0075,look_at_obj_in_light,0.9482758620689655,0.7068965517241379,0.6120689655172413,0.6120689655172413,0.46551724137931033,0.11090067943649846,0.2974992769587992,4.11952480549267,0.5873717462314683,0.5873717462314597,2.344825773862704,0.12280008227178557,0.9198621631179447,0.2705197014632548,0.18643379715657749
0.0075,pick_and_place,0.9254901960784314,0.7294117647058823,0.6,0.6,0.4392156862745098,0.11669649473013305,0.234132102742004,4.198552245540933,0.5112516760276943,0.511251676027687,2.352260224095209,0.1467065014545249,0.9298953571316332,0.2489821680736589,0.15431735101153207
0.0075,pick_clean_then_place_in_recep,0.9621621621621622,0.7675675675675676,0.42162162162162165,0.42162162162162165,0.3891891891891892,0.07403141806339418,0.2183594626698789,4.538339280064642,0.4130120712867089,0.41301207128670214,2.5198620826538742,0.13576000429044022,0.9536671050764027,0.21804552597044854,0.1299694749897071
0.0075,pick_cool_then_place_in_recep,0.9629629629629629,0.8271604938271605,0.35185185185185186,0.35185185185185186,0.4382716049382716,0.0783750863829509,0.17114909924095978,4.161335418929514,0.3386645810704854,0.3386645810704784,2.307447690419783,0.1370783010063427,0.9560424273061778,0.22982193092185418,0.13596952542577911
0.0075,pick_heat_then_place_in_recep,0.9156626506024096,0.7409638554216867,0.6927710843373494,0.6927710843373494,0.42168674698795183,0.14949639994124714,0.2484989854721473,4.044883098469029,0.6719843714104892,0.671984371410484,2.2679257920229636,0.12267461777065808,0.8926710666093488,0.2971853902742618,0.20282197824493323
0.0075,pick_two_obj_and_place,0.9959349593495935,0.9390243902439024,0.09349593495934959,0.09349593495934959,0.5528455284552846,0.01219512195121952,0.0558855682597085,4.560297829524644,0.08197859323958323,0.08197859323957618,2.624206916152538,0.16814425288666654,1.0057973977301433,0.15741197866173748,0.07126828405722284
0.01,look_at_obj_in_light,0.8706896551724138,0.6120689655172413,1.1120689655172413,1.1120689655172413,0.46551724137931033,0.24259841086044978,0.386994891801621,3.623019673075044,1.0838768786490942,1.0838768786490862,2.079086411782643,0.11843093238940716,0.8249005850427235,0.40640278141404357,0.2969408438064184
0.01,pick_and_place,0.8666666666666667,0.6509803921568628,0.9607843137254902,0.9607843137254902,0.4392156862745098,0.18976891976419907,0.3461206288003751,3.7910155053491095,0.9187884162195182,0.9187884162195108,2.1547356428343707,0.14314717414026784,0.861899595696487,0.3587214539917438,0.23304389803883416
0.01,pick_clean_then_place_in_recep,0.918918918918919,0.6270270270270271,0.9243243243243243,0.9243243243243243,0.3891891891891892,0.16465790486695953,0.3491637672578369,4.117617816749967,0.8337335346013841,0.8337335346013772,2.298824416688805,0.13206558951866346,0.8829370610170882,0.3622288030322086,0.23711243727330084
0.01,pick_cool_then_place_in_recep,0.9259259259259259,0.7160493827160493,0.6851851851851852,0.6851851851851852,0.4382716049382716,0.12241985273272304,0.2716106801438892,3.8324404533620067,0.6675595466379933,0.6675595466379858,2.146445790822376,0.13418639134021648,0.90125788397345,0.3590978540824926,0.2251769058924613
0.01,pick_heat_then_place_in_recep,0.8855421686746988,0.6385542168674698,0.963855421686747,0.963855421686747,0.42168674698795183,0.17375740077832352,0.3496006045026678,3.795671163008183,0.9211963068713348,0.9211963068713294,2.1573035412846098,0.12045245693824143,0.854666601877995,0.4103288895512768,0.2827723619334861
0.01,pick_two_obj_and_place,0.9878048780487805,0.9105691056910569,0.16666666666666666,0.16666666666666666,0.5528455284552846,0.015757998630443023,0.08648809071281774,4.495861795532625,0.14641462723160245,0.14641462723159548,2.5924708457734975,0.16760668085662409,0.9963637438826088,0.24286245700165196,0.11411228115549053
0.015,look_at_obj_in_light,0.6120689655172413,0.3879310344827586,2.189655172413793,2.189655172413793,0.46551724137931033,0.445711448820065,0.6054494022824648,2.569212742716412,2.1376838090077257,2.137683809007718,1.4937601651915198,0.10570552869886338,0.601768634186799,0.6635569022402963,0.5347346180280175
0.015,pick_and_place,0.7215686274509804,0.4823529411764706,1.7372549019607844,1.7372549019607844,0.4392156862745098,0.33971900410249367,0.46901293344175526,3.0715329930560413,1.6382709285125863,1.6382709285125787,1.7564593345110462,0.13399101906137678,0.7192773785879338,0.5988540609988313,0.42981612576057787
0.015,pick_clean_then_place_in_recep,0.7513513513513513,0.4,1.972972972972973,1.972972972972973,0.3891891891891892,0.36909025450555094,0.5921687511016884,3.0317821877233944,1.9195691636279573,1.919569163627949,1.7349160079734505,0.11908165403154453,0.702438144115579,0.6112961690388561,0.4500079401101454
0.015,pick_cool_then_place_in_recep,0.7592592592592593,0.5246913580246914,1.6111111111111112,1.6111111111111112,0.4382716049382716,0.34132119885911827,0.45537698856426606,2.9380200403508243,1.5619799596491757,1.5619799596491672,1.6376623462682067,0.12276846580072785,0.7298849806172398,0.6054004597964999,0.44085174820429107
0.015,pick_heat_then_place_in_recep,0.7048192771084337,0.46987951807228917,1.8795180722891567,1.8795180722891567,0.42168674698795183,0.3736600305348288,0.4898824800029315,2.9089162945877898,1.807951175291728,1.8079511752917223,1.6790173570607478,0.1099444143745286,0.6828919772821148,0.6551901551183482,0.4965894462600011
0.015,pick_two_obj_and_place,0.926829268292683,0.7154471544715447,0.7276422764227642,0.7276422764227642,0.5528455284552846,0.12240993663398443,0.25436956499449115,3.966746154297523,0.6755302684667049,0.6755302684666966,2.3267062674208,0.16069350230320503,0.9136775017896953,0.5254692239411651,0.31532532985982226
