threshold,phase,initial_pair_feasible,initial_full_feasible,eager_capacity_gap,eager_correction_rounds_lower_bound,pairwise_replan_changed_realized,post_pair_zero_capacity_probability,post_pair_shortfall_probability,expected_executed_branches,expected_unexecuted_branches,expected_fallback_roots,expected_pair_rounds,p2_expected_berv_value,retained_berv_value,weak_branch_ratio,weak_value_ratio
0.005,early,1.0,1.0,0.0,0.0,0.5176470588235295,0.0,0.0003556796816180521,4.105563779700245,0.0003185732409320858,0.00031857324092559247,2.329448871146571,0.17634568214484517,1.0262724499547822,0.0,0.0
0.005,late,1.0,1.0,0.0,0.0,0.42504409171075835,0.000381872288080013,0.015802897743040483,5.033483493283426,0.02295389648729741,0.02295389648729094,2.7864869647272292,0.13439814250876772,1.0157359285008287,0.0,0.0
0.005,middle,1.0,1.0,0.0,0.0,0.4811715481171548,0.00019364492981354477,0.006255462861771958,4.38818296551116,0.007214524028588697,0.007214524028581777,2.471623201761317,0.15133517023549187,1.016507352414683,0.0,0.0
0.0075,early,1.0,0.9411764705882353,0.058823529411764705,0.058823529411764705,0.5176470588235295,0.00953823843156332,0.02305477722034738,4.085592209634593,0.020290143306583044,0.020290143306576497,2.309927928111358,0.1762276745170858,1.0224302232065323,0.1342395019534648,0.05133111655232224
0.0075,late,0.9259259259259259,0.7178130511463845,0.6349206349206349,0.6349206349206349,0.42504409171075835,0.12700963748476107,0.27498052876045387,4.437810073811093,0.6186273159596298,0.6186273159596231,2.483787064614708,0.13062729660472328,0.9075438577487587,0.2775471870566373,0.18664205371444875
0.0075,middle,0.9769874476987448,0.8598326359832636,0.27615062761506276,0.27615062761506276,0.4811715481171548,0.050221441372988146,0.12439607218985915,4.1673535888446,0.22804390069514877,0.22804390069514166,2.362315065637353,0.14991568247365844,0.981715973296337,0.1918761969697719,0.10054376124240919
0.01,early,0.9647058823529412,0.9176470588235294,0.17647058823529413,0.17647058823529413,0.5176470588235295,0.0524371072354776,0.08682295192270921,3.928879621883392,0.17700273105778422,0.17700273105777792,2.2323765226999788,0.17484483906050244,0.9886413022067944,0.227221845890982,0.10256946889722254
0.01,late,0.873015873015873,0.5925925925925926,1.088183421516755,1.088183421516755,0.42504409171075835,0.20128265641472184,0.389848264738807,4.034583825471934,1.0218535642987898,1.021853564298783,2.2785043521578157,0.12706369981867544,0.8379746703937603,0.4141380398973406,0.2897369842761883
0.01,middle,0.9518828451882845,0.805439330543933,0.4707112970711297,0.4707112970711297,0.4811715481171548,0.0856945494412121,0.19379549908275248,3.941618207828089,0.4537792817116597,0.45377928171165244,2.2548840830559644,0.14797127457354237,0.9469330258691416,0.2877228219657717,0.15947353522161775
0.015,early,0.9411764705882353,0.7647058823529411,0.4588235294117647,0.4588235294117647,0.5176470588235295,0.05832254372815994,0.11350325165314316,3.8676651967413656,0.23821715619981076,0.23821715619980469,2.2024532778,0.17401943227430638,0.973448692200261,0.4721118692640528,0.24487241707517735
0.015,late,0.6754850088183422,0.37389770723104054,2.185185185185185,2.185185185185185,0.42504409171075835,0.4265983711660792,0.6125798533743789,2.919009260389521,2.137428129381202,2.1374281293811945,1.6810122307056778,0.11345410668071892,0.6351462234853413,0.660683298549933,0.5140166543529364
0.015,middle,0.8347280334728033,0.6359832635983264,1.1213389121338913,1.1213389121338913,0.4811715481171548,0.22428519293022753,0.3348693958346829,3.332590814110764,1.062806675428985,1.0628066754289773,1.9208749595555492,0.14018701415637946,0.8298472860729124,0.55258390721279,0.36410891348293073
