Q,tasks_q_ge3,q_ge3_ratio,realized_usable,replan_rate,action_change_rate,realized_shortfall_rate,mean_realized_feedback_gain,mean_expected_feedback_gain_fixed,median_expected_feedback_gain_fixed,mean_relative_feedback_gain_fixed,median_relative_feedback_gain_fixed,mean_threshold_shortfall_probability,mean_expected_executed_threshold,mean_later_pairwise_gain_vs_hybrid
3,150,1.0,150,0.3933333333333333,0.6466666666666666,0.0,0.0004236943561227868,0.0008103663693971042,1.762479051592436e-15,0.010970865773806982,1.1634965853920466e-14,0.0019005584401548766,2.9980994415598414,1.3674246919966512e-16
4,274,1.0,274,0.4233576642335766,0.7883211678832117,0.0,0.0012208356305806027,0.002285098394491118,4.021089017314239e-15,0.018615940399253267,4.819694505763329e-14,0.00473281040092722,3.990534379198139,1.7119314887011995e-16
5,465,1.0,465,0.4967741935483871,0.8387096774193549,0.004301075268817204,0.0009805914273795166,0.0024906674742441732,0.0010744233708855563,0.01964734984868104,0.01392158786252322,0.01210290198117755,4.971965348101004,0.0005997731137150592
6,241,1.0,241,0.45228215767634855,0.8755186721991701,0.0,0.0013597787871669135,0.0027786690861294665,0.0006741407727667223,0.015991543811355924,0.00942927815169601,0.03609014634058635,5.8702875632666665,0.0008369779118696301
