task_family,tasks_q_ge3,q_ge3_ratio,realized_usable,replan_rate,action_change_rate,realized_shortfall_rate,mean_realized_feedback_gain,mean_expected_feedback_gain_fixed,median_expected_feedback_gain_fixed,mean_relative_feedback_gain_fixed,median_relative_feedback_gain_fixed,mean_threshold_shortfall_probability,mean_expected_executed_threshold,mean_later_pairwise_gain_vs_hybrid
pick_and_place,255,0.47752808988764045,255,0.4392156862745098,0.7529411764705882,0.0,0.0018819756537115505,0.0029478605892985163,0.0007476208420052199,0.023171586195365076,0.014347279781123533,0.01160787554369084,4.673490844495118,0.0004588584393512311
look_at_obj_in_light,116,0.5345622119815668,116,0.46551724137931033,0.7931034482758621,0.0,0.0009457007100423185,0.0021520976256983212,0.0004517965362630279,0.016174812778989512,0.008563993139047977,0.010967390816245568,4.677699723215399,0.0006792445931640993
pick_heat_then_place_in_recep,166,0.4911242603550296,166,0.42168674698795183,0.8132530120481928,0.0,0.000620007432066563,0.001651488445378211,0.00023529602076969094,0.013475500520760776,0.004164143656277418,0.012907612918336421,4.676242830128661,0.0002302074688208011
pick_clean_then_place_in_recep,185,0.4457831325301205,185,0.3891891891891892,0.8432432432432433,0.0,0.0007351703260098558,0.002452152771725149,0.00045808328613040905,0.017292225248587208,0.00843995969290219,0.02572094593159743,4.869274288429777,0.0005332779666872594
pick_cool_then_place_in_recep,162,0.46285714285714286,162,0.4382716049382716,0.7901234567901234,0.012345679012345678,0.0009974944532574182,0.0017784059797769163,0.0002885432551940313,0.015881247231071493,0.0060824023947938085,0.016602612509928737,4.458322877852777,0.0002499658376700838
pick_two_obj_and_place,246,0.45054945054945056,246,0.5528455284552846,0.8577235772357723,0.0,0.0007789345451718524,0.002269295335377849,3.372302437298913e-15,0.01602677927882326,2.641201465389109e-14,0.00847382495318165,4.618499321692041,0.00043674622127073915
